Designator,MPN/Seeed SKU,spec,Qty,Link
U1,,AD5254 1K,1,https://www.digikey.jp/product-detail/ja/analog-devices-inc/AD5254BRUZ1/AD5254BRUZ1-ND/750904
"R1,R2",RC0402JR-0710KL,0402inch 10k,2,
